Display,statement_set,statement,statement_id,repetitions
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,2,Braille is based on a code of sixty-three characters,16,27
Display 1,7,The gestation period of a giraffe is 425 days,49,1
Display 1,7,The Ural Mountain Range separates Asia and Europe,50,1
Display 1,7,Earth's moon is the 5th largest moon in our solar system,51,1
Display 1,7,The first gymnastics instruction at a college was offered at Harvard University,52,1
Display 1,7,A group of apes is called a shrewdness,53,1
Display 1,7,The canteloupe originated in a region from India to Africa,54,1
Display 1,7,"The origin of loaded dice is Egypt, dating back to 3000 BC",55,1
Display 1,7,The first MVP in professional baseball was Frank Frisch,56,1
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,The Lincoln penny was the first US coin to carry a portrait,57,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,"Originally known as ""diastoid"", malted milk was rebranded in 1887",58,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,A Pilot whale is actually a kind of dolphin,59,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,The first Hall of Fame was in New York University,60,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,A dorter is the monks' dormitory in a monastery,61,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Walter Hunt was the man who invented the safety pin,62,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,Midway Island is not part of the state of Hawaii,63,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
Display 1,8,A group of hippopotamuses is called a bloat,64,9
